"","Avg_SpecificType","Avg_Normal","SD_SpecificType","SD_Normal","p.val_SpecificType_Normal","pvalue_Adj"
"A1BG",150.471486488301,76.4202786945688,71.2008544238209,51.4391236482867,0.0216610504509575,0.0659441532819843
"A1CF",0,0.0556310135707668,0,0.15302514967352,0.00707433566174613,0.029712511521098
"A2BP1",7.1215028273563,2.17749215096134,10.3737343782383,2.74055526636515,0.220843281058133,0.347248509154401
"A2LD1",91.0518561314642,97.7532531565412,12.9159213941343,44.4603190086671,0.369377690002376,0.497914047016208
"A2M",11501.1301943684,7555.52858098046,2757.35178087222,3966.62929149566,0.00412955805654627,0.0202431656476876
"A2ML1",4.20458992531324,1.56935814798892,5.47761325254492,1.68657262371756,0.217388048249473,0.343323193442272
"A4GALT",450.526373599347,264.929516641613,258.163484132142,121.901139804095,0.0828444432328754,0.171731112612305
"A4GNT",0.572374900751921,1.63199961164995,0.558883913572511,2.51742769703363,0.00780254169819355,0.031873847808819
"AAA1",0,0.00388883009934278,0,0.0298706707817502,0.321464383120815,0.450097791498337
"AAAS",738.650613718858,719.306822614384,142.020193325142,323.538702069387,0.771053506702146,0.837522903369481
"AACS",542.159340159339,743.364804842757,190.001037842423,367.546238700188,0.0272118619567591,0.0774660898202392
"AACSL",0.171652271804467,0.123634272975147,0.250837860251061,0.269097829249956,0.626235465809137,0.725540479214688
"AADAC",1.16702670879669,2.83673956214006,2.16135067903015,4.3910812651245,0.0988596413427035,0.195260432915776
"AADACL2",0.0905347613762202,0.121250641257076,0.167980563873473,0.205062109287823,0.647185774547449,0.742149565851721
"AADACL3",0.0477755804533331,0,0.135129747654701,0,0.350616662820207,0.4794171046019
"AADACL4",0.305136974439059,0.172945391070337,0.379729429178761,0.343956679164057,0.375671178800131,0.503468403898591
"AADAT",119.061027331858,165.194685624476,53.6664243743419,100.427875825102,0.0639197960050177,0.142312254432239
"AAGAB",833.592279341484,1241.14841127575,236.753342067844,680.028159554343,0.00240411572716929,0.0136170995487121
"AAK1",1328.17735897149,3707.8243797527,492.800304090612,2471.07689358594,2.17441727252182e-08,1.00523412594001e-06
"AAMP",2357.40166946483,2981.05621058799,718.550192076224,1484.36672536313,0.0676095884846139,0.148356906475319
"AANAT",0.893358634782541,1.93161907043741,0.852112322933506,1.17831019739621,0.0106273845433294,0.039820340790778
"AARS",2756.90300887689,4495.74804787223,1189.54222887662,2419.74387230204,0.00430361237316205,0.0207988569514242
"AARS2",426.217053705939,458.985480559241,153.632216244179,229.107316029378,0.606808155412746,0.709479922387712
"AARSD1",723.366742072355,653.543479513204,159.047440133102,327.39736505497,0.336523208869065,0.466494550254618
"AASDH",227.2065066104,376.53958080401,117.327863332671,186.094739174687,0.008720139767333,0.0346243898318028
"AASDHPPT",727.856885129637,878.313111972643,286.217812496673,477.154039866292,0.227266581661637,0.35460212797055
"AASS",404.469050303123,565.269649540947,118.735450396096,306.578016191104,0.010720112295189,0.040091509977488
"AATF",953.90724172124,1004.4312914739,260.958796311499,451.2541669024,0.651465714737331,0.745686437125658
"AATK",135.466632844223,119.006093903834,52.1981334163706,80.0530325407453,0.452367885271095,0.574256685130415
"ABAT",2376.96023557425,3505.87824148626,865.257025296117,2406.65302462377,0.015967734157261,0.0533651673587008
"ABCA10",27.7175783422831,59.2015592387374,17.4534078810428,44.6499228179411,0.00115636922810726,0.00797951491883124
"ABCA1",1136.84923894617,773.737733931284,272.720236440542,510.935420611811,0.0073954112910603,0.0306686102266038
"ABCA11P",124.387998612084,158.600131016586,22.1085692543225,90.442948505928,0.0194819676605309,0.0611244019605697
"ABCA12",4.1416582460307,0.290968641633322,4.39915612002154,0.530741778249714,0.0424922537968993,0.106306205065566
"ABCA13",94.8575035380827,178.356881544895,95.1608077976351,141.21991592571,0.0506807210164351,0.120534243261313
"ABCA17P",20.5673631462553,25.8804523340534,10.1469006008224,14.0323682125339,0.213698064658302,0.339346047845558
"ABCA2",4219.56273791012,3493.00918062331,1133.97046523101,2178.57998886716,0.159320884668266,0.275358877648117
"ABCA3",2184.74726054955,2779.05846734633,991.617526384437,1510.95849422161,0.165160399908545,0.282104849592271
"ABCA4",51.9562183610968,17.9891104196249,36.3000772933051,12.101379814179,0.0331726197983121,0.08910995487367
"ABCA5",480.370394984847,581.967230317745,231.330244452714,296.76858752511,0.286593292895649,0.420109289935758
"ABCA6",54.7862209860559,143.529803702924,56.3519520994629,90.9877609959936,0.0021960845561079,0.0127693207109504
"ABCA7",844.894383556006,470.137347768734,191.493408956764,216.179112542784,0.000520058142704737,0.00432152956220552
"ABCA8",291.878768952046,630.524809563146,154.770694608923,450.656900462996,0.000233096298069621,0.00236263432536445
"ABCA9",38.401567280895,220.158275529502,33.1768727288598,166.115129149163,7.4831924853189e-10,5.80212570101852e-08
"ABCB10",240.677357172155,424.170746428563,135.585380858689,226.609968043847,0.00616380071125739,0.0269216880034383
"ABCB11",0.104764834578975,0.981712359369282,0.29631969984272,2.0106794783043,0.00278465521194332,0.0151369030483057
"ABCB1",124.308991501348,124.287497713449,68.3629368485877,78.2145710512565,0.999362780502748,0.999464279871071
"ABCB4",15.2219617908607,16.972184628246,3.55117202612224,17.6866998700455,0.50727577856636,0.623429564257512
"ABCB5",0.365884288640052,0.335062543108249,0.478092281599798,0.540826084488508,0.869819642597826,0.909560532861285
"ABCB6",501.354939511039,726.763679448819,157.438900569404,406.393502545639,0.00741881966946794,0.0307333265819313
"ABCB7",290.820215507474,416.092934462489,112.279735063327,217.325436658658,0.0209875364415742,0.0644670822308701
"ABCB8",743.108423139532,921.590318191201,180.073707268718,462.448057051072,0.0533780258963264,0.125205674369015
"ABCB9",152.211984541759,94.776521337994,55.7064585779212,46.7434841514312,0.0226301388189018,0.0680009084375117
"ABCC10",577.286131701252,424.418648481647,136.859587390909,186.430180679032,0.0167098550245932,0.0550491610662997
"ABCC11",86.5024308023312,1.61982894017153,63.9761974652159,1.21450698075937,0.00714230823495244,0.0299288634609367
"ABCC12",6.62126923897137,0.279233301483317,6.39566434450952,0.536321522540275,0.0263443657821303,0.0756416299334121
"ABCC13",0.976007280241189,0.32912172866657,1.96271726821102,0.530891325120573,0.383891490807076,0.511699426054454
"ABCC1",1471.49968453609,1985.16384634634,630.350569051397,1034.3777146849,0.0704616967800781,0.152793730058011
"ABCC2",4.13051002916298,6.62507461626774,2.5116099616747,4.235437645561,0.0326385029129752,0.0881271600385153
"ABCC3",1695.17822005942,335.207419518948,719.141295455533,405.032436154099,0.000921022363212018,0.00670558758635767
"ABCC4",115.09652281569,537.10324908101,91.2519997293259,400.662911563462,9.13475534769813e-09,4.79732991513512e-07
"ABCC5",296.662070231164,253.500095010028,117.523503883667,122.783781077705,0.357086746620741,0.485902465829398
"ABCC6",447.658544460868,201.761837162768,201.49323038193,93.0087033140414,0.010455636919488,0.0393790999220494
"ABCC6P1",47.2262546827867,4.28811805794763,26.1099848396777,3.11476667044623,0.00232671572060617,0.0133296418306182
"ABCC6P2",121.066730993731,36.219179740136,37.8732774615179,19.6622994515694,0.00032586703495637,0.00305783926431198
"ABCC8",64.4319047773227,176.452630562501,62.3706900808697,153.935447445483,0.00111230796705443,0.00775426304536987
"ABCC9",173.094194758711,257.881599942903,101.308408734268,161.113056293065,0.0628541093039806,0.140489028331925
"ABCD1",348.128825668266,270.505547572803,84.0856361990425,117.069965551191,0.040189174004153,0.102550608038065
"ABCD2",11.3935868141064,17.7943136619677,7.01354310868037,19.8348478010006,0.0851796013414492,0.175030390483092
"ABCD3",1081.70421198001,1304.32023205398,342.801671302315,723.749364454638,0.164958846212751,0.28180946541585
"ABCD4",907.498374992072,802.44281405667,258.892820117275,382.887870913737,0.333959508030797,0.463724074678032
"ABCE1",875.04252180542,1036.46146991787,284.823988640966,496.901455533602,0.199340076851558,0.322500901463451
"ABCF1",1043.00767918971,1508.8041697408,344.309943645632,799.864749330771,0.00879005926100799,0.034824266160992
"ABCF2",915.274749341938,986.308124964645,249.851102983352,548.755880869854,0.539569333988622,0.651918924145517
"ABCF3",1041.4615903037,1227.81391366392,311.237265284081,617.962428411325,0.190573052730514,0.312593025372673
"ABCG1",644.698246286593,402.346411400435,220.815798215988,662.190746308316,0.04603151094587,0.112600336141618
"ABCG2",220.086961441032,157.476924336593,144.861624083698,106.218045374102,0.271606693853784,0.403943681374144
"ABCG4",24.7348952015723,15.0941709397318,11.9765386734509,9.84700258062716,0.0596143670334296,0.135274264818108
"ABCG5",1.05451604898721,1.83878289024511,0.785314176770262,1.35528404513432,0.0323843434243274,0.087630840807736
"ABCG8",0.0905347613762202,0.0711457245085699,0.167980563873473,0.183581374916583,0.768574146545075,0.835567167654359
"ABHD10",824.09742705082,1131.3229406788,276.976718284477,608.95158001051,0.0251940139122381,0.0733546584842721
"ABHD11",1151.89645733359,991.01991825121,226.372677634821,445.652582388235,0.123460886088611,0.228454260136155
"ABHD12",3189.69395553543,3550.11329721253,1425.42196412865,1672.20360785708,0.526574050509376,0.640817484442418
"ABHD12B",1.21435983311924,1.27020279756403,0.810944924730673,1.17423462813799,0.866546935040693,0.907078523370438
"ABHD13",436.03061450062,587.546538572803,148.253021448034,291.794465939182,0.0327511917749932,0.0883685396378567
"ABHD14A",1400.98813207456,992.985474687581,633.400863019189,502.143522152786,0.11734482521237,0.220577358760371
"ABHD14B",2705.37731964431,2675.40997933239,821.186408346389,1308.48713955223,0.930476287901868,0.950850976231807
"ABHD15",342.113033741434,409.045286008262,111.448953410669,196.123679357667,0.17620097748655,0.295076704984704
"ABHD1",11.4731351602398,18.3721498473467,5.28657380453926,12.1584061141263,0.0108527972041619,0.0404295812802918
"ABHD2",1301.39578987247,2390.43565393214,653.670323371631,1499.73898217331,0.00186395996153006,0.0112662003994981
"ABHD3",589.465324010895,557.066800482642,186.549599848828,240.052939489432,0.666175404366734,0.757773497663228
"ABHD4",1053.33237976403,1082.37233844929,497.903354369728,553.740833176039,0.881854903009968,0.917989124356986
"ABHD5",553.640742155531,852.129170051073,190.258917124079,429.175078930164,0.00293084847286386,0.0157245825362576
"ABHD6",203.510260679299,301.78568102155,66.6008848776459,150.610021853369,0.00464477774273507,0.0219942901816361
"ABHD8",622.214068668686,439.780293961103,206.645814343223,210.832748858086,0.043922313458641,0.10875107383134
"ABI1",1170.0959340747,1238.83182001425,348.307867288245,564.691795915497,0.639910274948199,0.736594362898464
"ABI2",2115.30253341357,2398.85040198855,829.473952041838,1383.40671500829,0.424795286111619,0.549197030439324
"ABI3",353.849607400597,178.831242163591,88.0614633508971,139.147785106767,0.000359661796903576,0.00329172584660295
"ABI3BP",443.730267710994,2547.89388913565,227.196179074055,1679.80215316689,4.40640746719675e-13,1.3350736716765e-10
"ABL1",3037.63092334363,3865.23819053212,1041.48447150983,2523.2190566019,0.10835051223567,0.208486076010677
"ABL2",522.71535803066,586.54717548003,205.794850503444,289.535696436563,0.452192582391963,0.574102676484484
"ABLIM1",3443.7448833129,8290.28043037503,2408.90689204581,5324.83730328602,0.000320755689720038,0.00301958057043328
"ABLIM2",332.770632869766,465.332581087926,93.5639330274485,271.870580210251,0.0107019281387295,0.0400387106314853
