TumorThrshld,deGenes,TCGABalancedAccuracy,correctly_classified_truthNormal,incorrectly_classified_truthNormal,correctly_classified_truthTumor,incorrectly_classified_truthTumor
10000,39,1,1,0,0.162087912,0.837912088
5000,91,1,1,0,0.021978022,0.978021978
2500,209,0.964285714,1,0,0.038461538,0.961538462
1250,448,1,1,0,0,1
625,778,0.964285714,1,0,0,1
312.5,1180,1,1,0,0,1
156.25,1526,1,1,0,0,1
78.125,1836,0.964285714,1,0,0,1
39.0625,2087,0.964285714,0.99770291,0.00229709,0.027472527,0.972527473
19.53125,2298,0.964285714,0.218223583,0.781776417,0.71978022,0.28021978
9.765625,2478,0.964285714,1,0,0.043956044,0.956043956
5,2607,0.964285714,0,1,1,0
