"","Avg_SpecificType","Avg_Normal","SD_SpecificType","SD_Normal","p.val_SpecificType_Normal","pvalue_Adj"
"A1BG",151.192700403877,76.4202786945688,123.871225578029,51.4391236482867,2.34260175393046e-12,2.06214798224778e-11
"A1CF",0.045072036767765,0.0556310135707668,0.303565863803177,0.15302514967352,0.697540940385759,0.758792500222085
"A2BP1",87.1422881309393,2.17749215096134,222.484913996239,2.74055526636515,1.22289767695515e-09,7.5374418932623e-09
"A2LD1",109.296533036325,97.7532531565412,43.1945838757129,44.4603190086671,0.0728196322442476,0.116062079254429
"A2M",10929.1809741508,7555.52858098046,6077.6561429611,3966.62929149566,4.66878308292256e-07,2.02863837229785e-06
"A2ML1",1.09923692598931,1.56935814798892,5.07582463817455,1.68657262371756,0.214729038975645,0.291502123754001
"A4GALT",384.130602619836,264.929516641613,330.766600790355,121.901139804095,5.09839664015386e-06,1.90373066794419e-05
"A4GNT",0.763724819977955,1.63199961164995,0.892029957238354,2.51742769703363,0.0112520680689924,0.0224392052905068
"AAA1",0.285367707185022,0.00388883009934278,1.09242453594514,0.0298706707817502,3.03470554556809e-05,9.99304057094903e-05
"AAAS",699.442741882503,719.306822614384,251.646206729126,323.538702069387,0.658772230970512,0.725717537651714
"AACS",584.978218225906,743.364804842757,217.028995642128,367.546238700188,0.00215482044927263,0.00504098481620311
"AACSL",0.165692283689873,0.123634272975147,0.450880778351808,0.269097829249956,0.345566097228073,0.429871957601905
"AADAC",0.385340994861166,2.83673956214006,1.29242892693032,4.3910812651245,7.5891734533108e-05,0.000233416284637351
"AADACL2",0.0327960665504646,0.121250641257076,0.170973715004738,0.205062109287823,0.00280291289258849,0.00639080719133701
"AADACL3",0.0321987013476145,0,0.153071984266857,0,0.000607122962187359,0.00157979652785712
"AADACL4",0.158023856498455,0.172945391070337,0.394873851162595,0.343956679164057,0.769514050736704,0.820607556552803
"AADAT",145.356768310468,165.194685624476,152.891263153518,100.427875825102,0.218149315711869,0.295265371336937
"AAGAB",1050.86620367351,1241.14841127575,427.43719564936,680.028159554343,0.0429455193312027,0.0730030234019232
"AAK1",1546.12352009977,3707.8243797527,725.169739816149,2471.07689358594,9.45449068649636e-09,5.24510964074545e-08
"AAMP",2835.36097367886,2981.05621058799,1012.60031698405,1484.36672536313,0.474814308728857,0.555602220846228
"AANAT",0.715305903594306,1.93161907043741,0.899212802685142,1.17831019739621,1.35048293417744e-10,9.45809920777517e-10
"AARS",3868.21356871436,4495.74804787223,2866.05717620893,2419.74387230204,0.0842945907668647,0.131938214690851
"AARS2",440.980347471416,458.985480559241,145.570667740561,229.107316029378,0.564599223399919,0.640345545964351
"AARSD1",732.052497924052,653.543479513204,305.952224244261,327.39736505497,0.0950663487356074,0.146352526425232
"AASDH",264.684937236311,376.53958080401,119.79327012339,186.094739174687,3.56480082185275e-05,0.000115976087766948
"AASDHPPT",923.579927626389,878.313111972643,403.009893946941,477.154039866292,0.499730833954547,0.579329371647481
"AASS",293.932704898182,565.269649540947,161.466695570617,306.578016191104,8.61854732711615e-09,4.80796444822477e-08
"AATF",1166.43883237914,1004.4312914739,376.952306432917,451.2541669024,0.0121128162690919,0.023988666070317
"AATK",141.836278372325,119.006093903834,144.649466034434,80.0530325407453,0.0957727082517481,0.147270284940394
"ABAT",2319.48633006169,3505.87824148626,1431.3750652902,2406.65302462377,0.000515367646729717,0.00135867803643962
"ABCA10",13.285043897745,59.2015592387374,11.4470279823907,44.6499228179411,9.3948766652547e-11,6.71819150475794e-10
"ABCA1",1505.93502518607,773.737733931284,1138.92421344167,510.935420611811,8.94445751372582e-13,8.30012529653335e-12
