"TumorThrshld","deGenes","TCGABalancedAccuracy","correctly_classified_truthNormal","incorrectly_classified_truthNormal","correctly_classified_truthTumor","incorrectly_classified_truthTumor"
10000,174,0.99264705882353,0.918070444104135,0.0819295558958652,0.991758241758242,0.00824175824175824
5000,419,1,0.944104134762634,0.055895865237366,0.956043956043956,0.043956043956044
2500,978,0.99264705882353,0.964012251148545,0.0359877488514548,0.945054945054945,0.0549450549450549
1250,1949,1,0.999234303215927,0.000765696784073507,0.895604395604396,0.104395604395604
625,3106,0.99264705882353,0.999234303215927,0.000765696784073507,0.832417582417582,0.167582417582418
312.5,4293,1,1,0,0.664835164835165,0.335164835164835
156.25,5198,1,1,0,0.521978021978022,0.478021978021978
78.125,5962,1,1,0,0.425824175824176,0.574175824175824
39.0625,6629,1,1,0,0.0796703296703297,0.92032967032967
19.53125,7157,1,1,0,0.118131868131868,0.881868131868132
9.765625,7602,1,1,0,0.532967032967033,0.467032967032967
5,7968,1,1,0,0.18956043956044,0.81043956043956
