"TumorThrshld","deGenes","TCGABalancedAccuracy","correctly_classified_truthNormal","incorrectly_classified_truthNormal","correctly_classified_truthTumor","incorrectly_classified_truthTumor"
10000,190,0.894088669950739,0.776416539050536,0.223583460949464,0.980769230769231,0.0192307692307692
5000,481,0.911330049261084,0.824655436447167,0.175344563552833,0.983516483516483,0.0164835164835165
2500,1257,0.875615763546798,0.902756508422665,0.0972434915773354,0.967032967032967,0.032967032967033
1250,2622,0.839901477832512,0.824655436447167,0.175344563552833,0.964285714285714,0.0357142857142857
625,4092,0.964285714285714,0.991577335375191,0.00842266462480858,0.79945054945055,0.200549450549451
312.5,5168,1,1,0,0.67032967032967,0.32967032967033
156.25,5839,0.785714285714286,0.995405819295559,0.00459418070444104,0.0686813186813187,0.931318681318681
78.125,6356,0.964285714285714,1,0,0.31043956043956,0.68956043956044
39.0625,6747,0.964285714285714,1,0,0.593406593406593,0.406593406593407
19.53125,7073,0.964285714285714,0.995405819295559,0.00459418070444104,0.79945054945055,0.200549450549451
9.765625,7376,0.928571428571429,1,0,0.31043956043956,0.68956043956044
5,7584,0.928571428571429,1,0,0.392857142857143,0.607142857142857
