"TumorThrshld","deGenes","TCGABalancedAccuracy","NormalOverlap","TumorOverlap","FitnessScore1","FitnessScore2","ccTN","icTN","ccTT","icTT","FitnessScore3"
10000,176,0.777901786,0.245022971,0.997252747,0.652490644,0.673392501,0.245022970903522,0.754977029096478,0.997252747252747,0.00274725274725275,0.631226611156269
8000,236,0.777901786,0.2618683,0.997252747,0.659228776,0.679007611,0.261868300153139,0.738131699846861,0.997252747252747,0.00274725274725275,0.648071940405887
6000,346,0.777901786,0.356814701,0.994505495,0.696108435,0.709740661,0.356814701378254,0.643185298621746,0.994505494505495,0.0054945054945055,0.740271088883749
4000,558,0.809709821,0.30704441,0.994505495,0.682561926,0.703753242,0.307044410413476,0.692955589586524,0.994505494505495,0.0054945054945055,0.706404815418971
2000,1303,0.920758929,0.449464012,0.994505495,0.761739588,0.788242812,0.449464012251149,0.550535987748851,0.994505494505495,0.0054945054945055,0.904348971256643
1000,2418,0.920758929,0.63093415,0.989010989,0.832129841,0.846901356,0.63093415007657,0.36906584992343,0.989010989010989,0.010989010989011,1.08032460358756
900,2597,0.956473214,0.496937213,0.994505495,0.787871726,0.815971974,0.496937212863706,0.503062787136294,0.994505494505495,0.0054945054945055,0.9696793143692
800,2825,0.920758929,0.611026034,0.994505495,0.826364397,0.842096819,0.611026033690659,0.388973966309342,0.994505494505495,0.0054945054945055,1.06591099269615
700,3067,0.920758929,0.58575804,0.994505495,0.816257199,0.833674155,0.585758039816233,0.414241960183767,0.994505494505495,0.0054945054945055,1.04064299882173
600,3356,0.956473214,0.612557427,0.991758242,0.83302091,0.853596294,0.612557427258805,0.387442572741194,0.991758241758242,0.00824175824175824,1.08255227601705
500,3663,0.920758929,0.736600306,0.983516484,0.872198502,0.880291906,0.736600306278714,0.263399693721286,0.983516483516483,0.0164835164835165,1.1804962542952
400,4018,0.956473214,0.735834609,0.983516484,0.87903508,0.891941436,0.73583460949464,0.26416539050536,0.983516483516483,0.0164835164835165,1.19758770001112
300,4443,0.920758929,0.86676876,0.96978022,0.918771377,0.919102636,0.86676875957121,0.13323124042879,0.96978021978022,0.0302197802197802,1.29692844385143
200,4929,0.956473214,0.770290965,0.983516484,0.892817622,0.903426888,0.770290964777948,0.229709035222052,0.983516483516483,0.0164835164835165,1.23204405529443
190,4994,0.960379464,0.778713629,0.972527473,0.892572334,0.903873522,0.778713629402756,0.221286370597243,0.972527472527473,0.0274725274725275,1.23143083393023
180,5047,0.956473214,0.934915773,0.884615385,0.919107106,0.925334791,0.934915773353752,0.0650842266462481,0.884615384615385,0.115384615384615,1.29776776496914
170,5111,0.9921875,0.889739663,0.931318681,0.926860838,0.937748615,0.889739663093415,0.110260336906585,0.931318681318681,0.0686813186813187,1.3171520944121
160,5183,0.960379464,0.89050536,0.917582418,0.915311004,0.922822414,0.890505359877488,0.109494640122511,0.917582417582418,0.0824175824175824,1.28827750945991
150,5253,0.960379464,0.932618683,0.895604396,0.923365124,0.929534181,0.932618683001531,0.0673813169984686,0.895604395604396,0.104395604395604,1.30841281060593
140,5337,0.956473214,0.813169985,0.96978022,0.904474725,0.91314114,0.813169984686064,0.186830015313936,0.96978021978022,0.0302197802197802,1.26118681146628
130,5403,0.956473214,0.784839204,0.983516484,0.898636918,0.908276301,0.784839203675345,0.215160796324655,0.983516483516483,0.0164835164835165,1.24659229419183
120,5494,0.924665179,0.348392037,0.967032967,0.711103037,0.746696728,0.348392036753446,0.651607963246554,0.967032967032967,0.032967032967033,0.777757593286413
110,5582,0.956473214,0.889739663,0.931318681,0.919717981,0.925843853,0.889739663093415,0.110260336906585,0.931318681318681,0.0686813186813187,1.2992949514121
100,5663,0.960379464,0.928024502,0.862637363,0.908340639,0.917013776,0.92802450229709,0.0719754977029096,0.862637362637363,0.137362637362637,1.27085159693445
90,5756,0.924665179,0.907350689,0.953296703,0.929191993,0.928437524,0.907350689127106,0.0926493108728943,0.953296703296703,0.0467032967032967,1.32297998192381
80,5857,0.956473214,0.955589587,0.799450549,0.893310697,0.903837783,0.955589586523737,0.0444104134762634,0.79945054945055,0.200549450549451,1.23327674297429
70,5974,0.960379464,0.227411945,0.994505495,0.680842869,0.727432301,0.227411944869832,0.772588055130168,0.994505494505495,0.0054945054945055,0.702107171375326
60,6109,0.960379464,0.947166922,0.868131868,0.918195409,0.925226085,0.947166921898928,0.052833078101072,0.868131868131868,0.131868131868132,1.2954885220308
50,6257,0.960379464,0.233537519,0.997252747,0.684391999,0.73038991,0.23353751914242,0.76646248085758,0.997252747252747,0.00274725274725275,0.710979998395167
40,6450,0.924665179,0.907350689,0.925824176,0.918202982,0.919280015,0.907350689127106,0.0926493108728943,0.925824175824176,0.0741758241758242,1.29550745445128
30,6670,0.960379464,0.61179173,0.958791209,0.820309069,0.843654134,0.611791730474732,0.388208269525268,0.958791208791209,0.0412087912087912,1.05077267126594
